code,description_1,description_2,description_3,description_4
5892,Operations On The Urinary System,Operations On Urethra,Other Operations On Urethra And Periurethral Tissue,Excision Of Periurethral Tissue
5893,Operations On The Urinary System,Operations On Urethra,Other Operations On Urethra And Periurethral Tissue,Implantation Of Artificial Urinary Sphincter [Aus]
5899,Operations On The Urinary System,Operations On Urethra,Other Operations On Urethra And Periurethral Tissue,Other
59,Operations On The Urinary System,Other Operations On Urinary Tract,,
590,Operations On The Urinary System,Other Operations On Urinary Tract,Dissection Of Retroperitoneal Tissue,
5900,Operations On The Urinary System,Other Operations On Urinary Tract,Dissection Of Retroperitoneal Tissue,"Retroperitoneal Dissection, Not Otherwise Specified"
5902,Operations On The Urinary System,Other Operations On Urinary Tract,Dissection Of Retroperitoneal Tissue,Other Lysis Of Perirenal Or Periureteral Adhesions
5903,Operations On The Urinary System,Other Operations On Urinary Tract,Dissection Of Retroperitoneal Tissue,Laparoscopic Lysis Of Perirenal Or Periureteral Adhesions
5909,Operations On The Urinary System,Other Operations On Urinary Tract,Dissection Of Retroperitoneal Tissue,Other Incision Of Perirenal Or Periureteral Tissue
591,Operations On The Urinary System,Other Operations On Urinary Tract,Incision Of Perivesical Tissue,
5911,Operations On The Urinary System,Other Operations On Urinary Tract,Incision Of Perivesical Tissue,Other Lysis Of Perivesical Adhesions
5912,Operations On The Urinary System,Other Operations On Urinary Tract,Incision Of Perivesical Tissue,Laparoscopic Lysis Of Perivesical Adhesions
5919,Operations On The Urinary System,Other Operations On Urinary Tract,Incision Of Perivesical Tissue,Other Incision Of Perivesical Tissue
592,Operations On The Urinary System,Other Operations On Urinary Tract,Diagnostic Procedures On Perirenal And Perivesical Tissue,
5921,Operations On The Urinary System,Other Operations On Urinary Tract,Diagnostic Procedures On Perirenal And Perivesical Tissue,Biopsy Of Perirenal Or Perivesical Tissue
5929,Operations On The Urinary System,Other Operations On Urinary Tract,Diagnostic Procedures On Perirenal And Perivesical Tissue,"Other Diagnostic Procedures On Perirenal Tissue, Perivesical Tissue, And Retroperitoneum"
593,Operations On The Urinary System,Other Operations On Urinary Tract,Plication Of Urethrovesical Junction,
594,Operations On The Urinary System,Other Operations On Urinary Tract,Suprapubic Sling Operation,
595,Operations On The Urinary System,Other Operations On Urinary Tract,Retropubic Urethral Suspension,
596,Operations On The Urinary System,Other Operations On Urinary Tract,Paraurethral Suspension,
597,Operations On The Urinary System,Other Operations On Urinary Tract,Other Repair Of Urinary Stress Incontinence,
5971,Operations On The Urinary System,Other Operations On Urinary Tract,Other Repair Of Urinary Stress Incontinence,Levator Muscle Operation For Urethrovesical Suspension
5972,Operations On The Urinary System,Other Operations On Urinary Tract,Other Repair Of Urinary Stress Incontinence,Injection Of Implant Into Urethra And/Or Bladder Neck
5979,Operations On The Urinary System,Other Operations On Urinary Tract,Other Repair Of Urinary Stress Incontinence,Other
598,Operations On The Urinary System,Other Operations On Urinary Tract,Ureteral Catheterization,
599,Operations On The Urinary System,Other Operations On Urinary Tract,Other Operations On Urinary System,
5991,Operations On The Urinary System,Other Operations On Urinary Tract,Other Operations On Urinary System,Excision Of Perirenal Or Perivesical Tissue
5992,Operations On The Urinary System,Other Operations On Urinary Tract,Other Operations On Urinary System,Other Operations On Perirenal Or Perivesical Tissue
5993,Operations On The Urinary System,Other Operations On Urinary Tract,Other Operations On Urinary System,Replacement Of Ureterostomy Tube
5994,Operations On The Urinary System,Other Operations On Urinary Tract,Other Operations On Urinary System,Replacement Of Cystostomy Tube
5995,Operations On The Urinary System,Other Operations On Urinary Tract,Other Operations On Urinary System,Ultrasonic Fragmentation Of Urinary Stones
5999,Operations On The Urinary System,Other Operations On Urinary Tract,Other Operations On Urinary System,Other
60,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,,
600,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Incision Of Prostate,
601,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Diagnostic Procedures On Prostate And Seminal Vesicles,
6011,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Diagnostic Procedures On Prostate And Seminal Vesicles,Closed [Percutaneous] [Needle] Biopsy Of Prostate
6012,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Diagnostic Procedures On Prostate And Seminal Vesicles,Open Biopsy Of Prostate
6013,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Diagnostic Procedures On Prostate And Seminal Vesicles,Closed [Percutaneous] Biopsy Of Seminal Vesicles
6014,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Diagnostic Procedures On Prostate And Seminal Vesicles,Open Biopsy Of Seminal Vesicles
6015,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Diagnostic Procedures On Prostate And Seminal Vesicles,Biopsy Of Periprostatic Tissue
6018,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Diagnostic Procedures On Prostate And Seminal Vesicles,Other Diagnostic Procedures On Prostate And Periprostatic Tissue
6019,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Diagnostic Procedures On Prostate And Seminal Vesicles,Other Diagnostic Procedures On Seminal Vesicles
602,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Transurethral Prostatectomy,
6021,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Transurethral Prostatectomy,Transurethral (Ultrasound) Guided Laser Induced Prostatectomy (Tulip)
6029,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Transurethral Prostatectomy,Other Transurethral Prostatectomy
603,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Suprapubic Prostatectomy,
604,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Retropubic Prostatectomy,
605,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Radical Prostatectomy,
606,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Other Prostatectomy,
6061,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Other Prostatectomy,Local Excision Of Lesion Of Prostate
6062,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Other Prostatectomy,Perineal Prostatectomy
6069,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Other Prostatectomy,Other
607,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Operations On Seminal Vesicles,
6071,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Operations On Seminal Vesicles,Percutaneous Aspiration Of Seminal Vesicle
6072,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Operations On Seminal Vesicles,Incision Of Seminal Vesicle
6073,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Operations On Seminal Vesicles,Excision Of Seminal Vesicle
6079,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Operations On Seminal Vesicles,Other Operations On Seminal Vesicles
608,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Incision Or Excision Of Periprostatic Tissue,
6081,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Incision Or Excision Of Periprostatic Tissue,Incision Of Periprostatic Tissue
6082,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Incision Or Excision Of Periprostatic Tissue,Excision Of Periprostatic Tissue
609,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Other Operations On Prostate,
6091,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Other Operations On Prostate,Percutaneous Aspiration Of Prostate
6092,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Other Operations On Prostate,Injection Into Prostate
6093,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Other Operations On Prostate,Repair Of Prostate
6094,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Other Operations On Prostate,Control Of (Postoperative) Hemorrhage Of Prostate
6095,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Other Operations On Prostate,Transurethral Balloon Dilation Of The Prostatic Urethra
6096,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Other Operations On Prostate,Transurethral Destruction Of Prostate Tissue By Microwave Thermotherapy
6097,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Other Operations On Prostate,Other Transurethral Destruction Of Prostate Tissue By Other Thermotherapy
6099,Operations On The Male Genital Organs,Operations On Prostate And Seminal Vesicles,Other Operations On Prostate,Other
61,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,,
610,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Incision And Drainage Of Scrotum And Tunica Vaginalis,
611,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Diagnostic Procedures On Scrotum And Tunica Vaginalis,
6111,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Diagnostic Procedures On Scrotum And Tunica Vaginalis,Biopsy Of Scrotum Or Tunica Vaginalis
6119,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Diagnostic Procedures On Scrotum And Tunica Vaginalis,Other Diagnostic Procedures On Scrotum And Tunica Vaginalis
612,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Excision Of Hydrocele (Of Tunica Vaginalis),
613,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Excision Or Destruction Of Lesion Or Tissue Of Scrotum,
614,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Repair Of Scrotum And Tunica Vaginalis,
6141,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Repair Of Scrotum And Tunica Vaginalis,Suture Of Laceration Of Scrotum And Tunica Vaginalis
6142,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Repair Of Scrotum And Tunica Vaginalis,Repair Of Scrotal Fistula
6149,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Repair Of Scrotum And Tunica Vaginalis,Other Repair Of Scrotum And Tunica Vaginalis
619,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Other Operations On Scrotum And Tunica Vaginalis,
6191,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Other Operations On Scrotum And Tunica Vaginalis,Percutaneous Aspiration Of Tunics Vaginalis
6192,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Other Operations On Scrotum And Tunica Vaginalis,Excision Of Lesion Of Tunica Vaginalis Other Than Hydrocele
6199,Operations On The Male Genital Organs,Operations On Scrotum And Tunica Vaginalis,Other Operations On Scrotum And Tunica Vaginalis,Other
62,Operations On The Male Genital Organs,Operations On Testes,,
620,Operations On The Male Genital Organs,Operations On Testes,Incision Of Testis,
621,Operations On The Male Genital Organs,Operations On Testes,Diagnostic Procedures On Testes,
6211,Operations On The Male Genital Organs,Operations On Testes,Diagnostic Procedures On Testes,Closed [Percutaneous] [Needle] Biopsy Of Testis
6212,Operations On The Male Genital Organs,Operations On Testes,Diagnostic Procedures On Testes,Open Biopsy Or Testis
6219,Operations On The Male Genital Organs,Operations On Testes,Diagnostic Procedures On Testes,Other Diagnostic Procedures On Testes
622,Operations On The Male Genital Organs,Operations On Testes,Excision Or Destruction Of Testicular Lesion,
623,Operations On The Male Genital Organs,Operations On Testes,Unilateral Orchiectomy,
624,Operations On The Male Genital Organs,Operations On Testes,Bilateral Orchiectomy,
6241,Operations On The Male Genital Organs,Operations On Testes,Bilateral Orchiectomy,Removal Of Both Testes At Same Operative Episode
6242,Operations On The Male Genital Organs,Operations On Testes,Bilateral Orchiectomy,Removal Of Remaining Testis
625,Operations On The Male Genital Organs,Operations On Testes,Orchiopexy,
626,Operations On The Male Genital Organs,Operations On Testes,Repair Of Testes,
6261,Operations On The Male Genital Organs,Operations On Testes,Repair Of Testes,Suture Of Laceration Of Testis
6269,Operations On The Male Genital Organs,Operations On Testes,Repair Of Testes,Other Repair Of Testis
627,Operations On The Male Genital Organs,Operations On Testes,Insertion Of Testicular Prosthesis,
629,Operations On The Male Genital Organs,Operations On Testes,Other Operations On Testis,
6291,Operations On The Male Genital Organs,Operations On Testes,Other Operations On Testis,Aspiration Of Testis
6292,Operations On The Male Genital Organs,Operations On Testes,Other Operations On Testis,Injection Of Therapeutic Substance Into Testis
6299,Operations On The Male Genital Organs,Operations On Testes,Other Operations On Testis,Other
63,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",,
630,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens","Diagnostic Procedures On Spermatic Cord, Epididymis And Vas Deferens",
6301,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens","Diagnostic Procedures On Spermatic Cord, Epididymis And Vas Deferens","Biopsy Of Spermatic Cord, Epididymis, Or Vas Deferens"
6309,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens","Diagnostic Procedures On Spermatic Cord, Epididymis And Vas Deferens","Other Diagnostic Procedures On Spermatic Cord, Epididymis, And Vas Deferens"
631,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Excision Of Varicocele And Hydrocele Of Spermatic Cord,
632,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Excision Of Cyst Of Epididymis,
633,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Excision Of Other Lesion Or Tissue Of Spermatic Cord And Epididymis,
634,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Epididymectomy,
635,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Repair Of Spermatic Cord And Epididymis,
6351,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Repair Of Spermatic Cord And Epididymis,Suture Of Laceration Of Spermatic Cord And Epididymis
6352,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Repair Of Spermatic Cord And Epididymis,Reduction Of Torsion Of Testis Or Spermatic Cord
6353,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Repair Of Spermatic Cord And Epididymis,Transplantation Of Spermatic Cord
6359,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Repair Of Spermatic Cord And Epididymis,Other Repair Of Spermatic Cord And Epididymis
636,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Vasotomy,
637,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Vasectomy And Ligation Of Vas Deferens,
6370,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Vasectomy And Ligation Of Vas Deferens,Male Sterilization Procedure Not Otherwise Specified
6371,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Vasectomy And Ligation Of Vas Deferens,Ligation Of Vas Deferens
6372,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Vasectomy And Ligation Of Vas Deferens,Ligation Of Spermatic Cord
6373,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Vasectomy And Ligation Of Vas Deferens,Vasectomy
638,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Repair Of Vas Deferens And Epididymis,
6381,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Repair Of Vas Deferens And Epididymis,Suture Of Laceration Of Vas Deferens And Epididymis
6382,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Repair Of Vas Deferens And Epididymis,Reconstruction Of Surgically Divided Vas Deferens
6383,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Repair Of Vas Deferens And Epididymis,Epididymovasostomy
6384,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Repair Of Vas Deferens And Epididymis,Removal Of Ligature From Vas Deferens
6385,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Repair Of Vas Deferens And Epididymis,Removal Of Valve From Vas Deferens
6389,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens",Repair Of Vas Deferens And Epididymis,Other Repair Of Vas Deferens And Epididymis
639,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens","Other Operations On Spermatic Cord, Epididymis And Vas Deferens",
6391,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens","Other Operations On Spermatic Cord, Epididymis And Vas Deferens",Aspiration Of Spermatocele
6392,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens","Other Operations On Spermatic Cord, Epididymis And Vas Deferens",Epididymotomy
6393,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens","Other Operations On Spermatic Cord, Epididymis And Vas Deferens",Incision Of Spermatic Cord
6394,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens","Other Operations On Spermatic Cord, Epididymis And Vas Deferens",Lysis Of Adhesions Of Spermatic Cord
6395,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens","Other Operations On Spermatic Cord, Epididymis And Vas Deferens",Insertion Of Valve In Vas Deferens
6399,Operations On The Male Genital Organs,"Operations On Spermatic Cord, Epididymis, And Vas Deferens","Other Operations On Spermatic Cord, Epididymis And Vas Deferens",Other
64,Operations On The Male Genital Organs,Operations On Penis,,
640,Operations On The Male Genital Organs,Operations On Penis,Circumcision,
641,Operations On The Male Genital Organs,Operations On Penis,Diagnostic Procedures On The Penis,
6411,Operations On The Male Genital Organs,Operations On Penis,Diagnostic Procedures On The Penis,Biopsy Of Penis
6419,Operations On The Male Genital Organs,Operations On Penis,Diagnostic Procedures On The Penis,Other Diagnostic Procedures On Penis
642,Operations On The Male Genital Organs,Operations On Penis,Local Excision Or Destruction Of Lesion Of Penis,
643,Operations On The Male Genital Organs,Operations On Penis,Amputation Of Penis,
644,Operations On The Male Genital Organs,Operations On Penis,Repair And Plastic Operation On Penis,
6441,Operations On The Male Genital Organs,Operations On Penis,Repair And Plastic Operation On Penis,Suture Of Laceration Of Penis
6442,Operations On The Male Genital Organs,Operations On Penis,Repair And Plastic Operation On Penis,Release Of Chordee
6443,Operations On The Male Genital Organs,Operations On Penis,Repair And Plastic Operation On Penis,Construction Of Penis
6444,Operations On The Male Genital Organs,Operations On Penis,Repair And Plastic Operation On Penis,Reconstruction Of Penis
6445,Operations On The Male Genital Organs,Operations On Penis,Repair And Plastic Operation On Penis,Replantation Of Penis
6449,Operations On The Male Genital Organs,Operations On Penis,Repair And Plastic Operation On Penis,Other Repair Of Penis
645,Operations On The Male Genital Organs,Operations On Penis,"Operations For Sex Transformation, Not Otherwise Classified",
649,Operations On The Male Genital Organs,Operations On Penis,Other Operations On Male Genital Organs,
6491,Operations On The Male Genital Organs,Operations On Penis,Other Operations On Male Genital Organs,Dorsal Or Lateral Slit Of Prepuce
6492,Operations On The Male Genital Organs,Operations On Penis,Other Operations On Male Genital Organs,Incision Of Penis
6493,Operations On The Male Genital Organs,Operations On Penis,Other Operations On Male Genital Organs,Division Of Penile Adhesions
6494,Operations On The Male Genital Organs,Operations On Penis,Other Operations On Male Genital Organs,Fitting Of External Prosthesis Of Penis
6495,Operations On The Male Genital Organs,Operations On Penis,Other Operations On Male Genital Organs,Insert/Replace Non-Inflatable Penile Prosthesis
6496,Operations On The Male Genital Organs,Operations On Penis,Other Operations On Male Genital Organs,Removal Of Internal Prosthesis Of Penis
6497,Operations On The Male Genital Organs,Operations On Penis,Other Operations On Male Genital Organs,Insertion Or Replacement Or Inflatable Penile Prosthesis
6498,Operations On The Male Genital Organs,Operations On Penis,Other Operations On Male Genital Organs,Other Operations On Penis
6499,Operations On The Male Genital Organs,Operations On Penis,Other Operations On Male Genital Organs,Other
65,Operations On The Female Genital Organs,Operations On Ovary,,
650,Operations On The Female Genital Organs,Operations On Ovary,Oophorotomy,
6501,Operations On The Female Genital Organs,Operations On Ovary,Oophorotomy,Laparoscopic Oophorotomy
6509,Operations On The Female Genital Organs,Operations On Ovary,Oophorotomy,Other Oophorotomy
651,Operations On The Female Genital Organs,Operations On Ovary,Diagnostic Procedures On Ovaries,
6511,Operations On The Female Genital Organs,Operations On Ovary,Diagnostic Procedures On Ovaries,Aspiration Biopsy Of Ovary
6512,Operations On The Female Genital Organs,Operations On Ovary,Diagnostic Procedures On Ovaries,Other Biopsy Of Ovary
6513,Operations On The Female Genital Organs,Operations On Ovary,Diagnostic Procedures On Ovaries,Laparoscopic Biopsy Of Ovary
6514,Operations On The Female Genital Organs,Operations On Ovary,Diagnostic Procedures On Ovaries,Other Laparoscopic Diagnostic Procedures On Ovaries
6519,Operations On The Female Genital Organs,Operations On Ovary,Diagnostic Procedures On Ovaries,Other Diagnostic Procedure On Ovaries
652,Operations On The Female Genital Organs,Operations On Ovary,Local Excision Or Destruction Of Ovarian Lesion Or Tissue,
6521,Operations On The Female Genital Organs,Operations On Ovary,Local Excision Or Destruction Of Ovarian Lesion Or Tissue,Marsupialization Of Ovarian Cyst
6522,Operations On The Female Genital Organs,Operations On Ovary,Local Excision Or Destruction Of Ovarian Lesion Or Tissue,Wedge Resection Of Ovary
6523,Operations On The Female Genital Organs,Operations On Ovary,Local Excision Or Destruction Of Ovarian Lesion Or Tissue,Laparoscopic Marsupialization Of Ovarian Cyst
6524,Operations On The Female Genital Organs,Operations On Ovary,Local Excision Or Destruction Of Ovarian Lesion Or Tissue,Laparoscopic Wedge Resection Of Ovary
6525,Operations On The Female Genital Organs,Operations On Ovary,Local Excision Or Destruction Of Ovarian Lesion Or Tissue,Other Laparoscopic Local Excision Or Destruction Of Ovary
6529,Operations On The Female Genital Organs,Operations On Ovary,Local Excision Or Destruction Of Ovarian Lesion Or Tissue,Other Local Excision Or Destruction Of Ovary
653,Operations On The Female Genital Organs,Operations On Ovary,Unilateral Oophorectomy,
6531,Operations On The Female Genital Organs,Operations On Ovary,Unilateral Oophorectomy,Laparoscopic Unilateral Oophorectomy
6539,Operations On The Female Genital Organs,Operations On Ovary,Unilateral Oophorectomy,Other Unilateral Oophorectomy
654,Operations On The Female Genital Organs,Operations On Ovary,Unilateral Salpingo-Oophorectomy,
6541,Operations On The Female Genital Organs,Operations On Ovary,Unilateral Salpingo-Oophorectomy,Laparoscopic Unilateral Salpingo-Oophorectomy
6549,Operations On The Female Genital Organs,Operations On Ovary,Unilateral Salpingo-Oophorectomy,Other Unilateral Salpingo-Oophorectomy
655,Operations On The Female Genital Organs,Operations On Ovary,Bilateral Oophorectomy,
6551,Operations On The Female Genital Organs,Operations On Ovary,Bilateral Oophorectomy,Other Removal Of Both Ovaries At Same Operative Episode
6552,Operations On The Female Genital Organs,Operations On Ovary,Bilateral Oophorectomy,Other Removal Of Remaining Ovary
6553,Operations On The Female Genital Organs,Operations On Ovary,Bilateral Oophorectomy,Laparoscopic Removal Of Both Ovaries At Same Operative Episode
6554,Operations On The Female Genital Organs,Operations On Ovary,Bilateral Oophorectomy,Laparoscopic Removal Of Remaining Ovary
656,Operations On The Female Genital Organs,Operations On Ovary,Bilateral Salpingo-Oophorectomy,
6561,Operations On The Female Genital Organs,Operations On Ovary,Bilateral Salpingo-Oophorectomy,Other Removal Of Both Ovaries And Tubes At Same Operative Episode
6562,Operations On The Female Genital Organs,Operations On Ovary,Bilateral Salpingo-Oophorectomy,Other Removal Of Remaining Ovary And Tube
6563,Operations On The Female Genital Organs,Operations On Ovary,Bilateral Salpingo-Oophorectomy,Laparoscopic Removal Of Both Ovaries And Tubes At Same Operative Episode
6564,Operations On The Female Genital Organs,Operations On Ovary,Bilateral Salpingo-Oophorectomy,Laparoscopic Removal Of Remaining Ovary And Tube
657,Operations On The Female Genital Organs,Operations On Ovary,Repair Of Ovary,
6571,Operations On The Female Genital Organs,Operations On Ovary,Repair Of Ovary,Other Simple Suture Of Ovary
6572,Operations On The Female Genital Organs,Operations On Ovary,Repair Of Ovary,Other Reimplantation Of Ovary
6573,Operations On The Female Genital Organs,Operations On Ovary,Repair Of Ovary,Other Salpingo-Oophoroplasty
6574,Operations On The Female Genital Organs,Operations On Ovary,Repair Of Ovary,Laparoscopic Simple Suture Of Ovary
6575,Operations On The Female Genital Organs,Operations On Ovary,Repair Of Ovary,Laparoscopic Reimplantation Of Ovary
6576,Operations On The Female Genital Organs,Operations On Ovary,Repair Of Ovary,Laparoscopic Salpingo-Oophoroplasty
6579,Operations On The Female Genital Organs,Operations On Ovary,Repair Of Ovary,Other Repair Of Ovary
658,Operations On The Female Genital Organs,Operations On Ovary,Lysis Of Adhesions Of Ovary And Fallopian Tube,
6581,Operations On The Female Genital Organs,Operations On Ovary,Lysis Of Adhesions Of Ovary And Fallopian Tube,Laparoscopic Lysis Of Adhesions Of Ovary And Fallopian Tube
6589,Operations On The Female Genital Organs,Operations On Ovary,Lysis Of Adhesions Of Ovary And Fallopian Tube,Other Lysis Of Adhesions Of Ovary And Fallopian Tube
659,Operations On The Female Genital Organs,Operations On Ovary,Other Operations On Ovary,
6591,Operations On The Female Genital Organs,Operations On Ovary,Other Operations On Ovary,Aspiration Of Ovary
6592,Operations On The Female Genital Organs,Operations On Ovary,Other Operations On Ovary,Transplantation Of Ovary
6593,Operations On The Female Genital Organs,Operations On Ovary,Other Operations On Ovary,Manual Rupture Of Ovarian Cyst
6594,Operations On The Female Genital Organs,Operations On Ovary,Other Operations On Ovary,Ovarian Denervation
6595,Operations On The Female Genital Organs,Operations On Ovary,Other Operations On Ovary,Release Of Torsion Of Ovary
6599,Operations On The Female Genital Organs,Operations On Ovary,Other Operations On Ovary,Other
66,Operations On The Female Genital Organs,Operations On Fallopian Tubes,,
660,Operations On The Female Genital Organs,Operations On Fallopian Tubes,Salpingotomy And Salpingostomy,
6601,Operations On The Female Genital Organs,Operations On Fallopian Tubes,Salpingotomy And Salpingostomy,Salpingotomy
6602,Operations On The Female Genital Organs,Operations On Fallopian Tubes,Salpingotomy And Salpingostomy,Salpingostomy
661,Operations On The Female Genital Organs,Operations On Fallopian Tubes,Diagnostic Procedures On Fallopian Tubes,
6611,Operations On The Female Genital Organs,Operations On Fallopian Tubes,Diagnostic Procedures On Fallopian Tubes,Biopsy Of Fallopian Tube
6619,Operations On The Female Genital Organs,Operations On Fallopian Tubes,Diagnostic Procedures On Fallopian Tubes,Other Diagnostic Procedures On Fallopian Tubes
662,Operations On The Female Genital Organs,Operations On Fallopian Tubes,Bilateral Endoscopic Destruction Or Occlusion Of Fallopian Tubes,
6621,Operations On The Female Genital Organs,Operations On Fallopian Tubes,Bilateral Endoscopic Destruction Or Occlusion Of Fallopian Tubes,Bilateral Endoscopic Ligation And Crushing Of Fallopian Tubes
6622,Operations On The Female Genital Organs,Operations On Fallopian Tubes,Bilateral Endoscopic Destruction Or Occlusion Of Fallopian Tubes,Bilateral Endoscopic Ligation And Division Of Fallopian Tubes
6629,Operations On The Female Genital Organs,Operations On Fallopian Tubes,Bilateral Endoscopic Destruction Or Occlusion Of Fallopian Tubes,Other Bilateral Endoscopic Destruction Or Occlusion Of Fallopian Tubes
663,Operations On The Female Genital Organs,Operations On Fallopian Tubes,Other Bilateral Destruction Or Occlusion Of Fallopian Tubes,
6631,Operations On The Female Genital Organs,Operations On Fallopian Tubes,Other Bilateral Destruction Or Occlusion Of Fallopian Tubes,Other Bilateral Ligation And Crushing Of Fallopian Tubes
